"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"A-W1",44257,31160,25634,29460,17698,12622,0.714802178186502
"A-W2",59291,39161,32789,37030,22813,15027,0.746555126410416
"A-W3",1417,981,714,773,507,507,0.642201834862385
"A-W4",20372,13845,11034,12694,6656,5893,0.710730414294129
"A-W5",20607,14893,12448,13725,8178,7277,0.646867569272577
"A-W6",25687,17574,14143,16090,8754,7615,0.703546541051894
"B-W1",43099,29195,24035,27369,15616,10638,0.753172927446112
"B-W2",70582,49774,42923,47418,32124,20105,0.715154005270466
"B-W3",9941,7242,6395,6836,5660,3200,0.678100794688663
"B-W4",20456,14254,11422,13088,7170,6456,0.684395776300352
"B-W5",24223,16855,13800,15634,8450,6183,0.744746728316063
"B-W6",29206,20585,17548,19270,11687,9219,0.684345682394029
"C-W1",43961,30423,24676,28527,15718,11759,0.732512909169491
"C-W2",76559,52231,43817,49553,28493,19992,0.738868062540002
"C-W3",23988,17159,16080,16533,14085,9716,0.594964148741037
"C-W4",18092,12327,10132,11268,6021,5303,0.706887021888127
"C-W5",41297,29216,25142,27529,17582,13524,0.672518584885101
"C-W6",22888,15500,12582,13955,7232,6464,0.717581265291856
"N-1",295,149,118,115,101,101,0.657627118644068
"N-2",105,54,14,20,13,13,0.876190476190476
"N-3",192,82,60,54,41,41,0.786458333333333
"P1",36804,26034,25570,25897,24589,11250,0.694326703619172
"R-001",18954,12860,11866,12506,9971,7478,0.605465864725124
"R-002",86532,59820,54065,58192,44241,23704,0.726066657421532
"R-003",44768,30073,27158,29319,22566,12410,0.722793066476054
"R-004",6568,4091,3609,3824,3179,2911,0.556790499390987
"R-005",20033,13377,12040,12890,10706,6949,0.653122348125593
"R-006",12260,7687,6913,7330,5822,4257,0.652773246329527
"R-007",55455,35538,31355,33963,24496,15949,0.712397439365251
"R-008",43336,23416,19111,22065,14148,9789,0.774113900683035
"R-010",14854,8342,7290,7868,5563,4368,0.705937794533459
"R-011",11870,7850,6796,7353,5864,3569,0.699326032013479
"R-012",20750,14858,12913,14238,10501,6968,0.664192771084337
"R-013",14497,10282,9162,9765,8139,5435,0.625094847209767
"R-014",70474,47773,41916,46029,32630,18411,0.738754718052048
"R-015",16893,11787,10904,11482,9690,6858,0.594033031433138
"R-016",59683,40296,37586,39518,32358,17350,0.709297454886651
"R-017",86606,61610,56527,59991,46256,23663,0.726774126503937
"R-018",49992,35678,31940,34614,24943,12538,0.749199871979517
"R-019",45856,31676,27586,30116,20325,11348,0.752529658060014
"R-020",23506,15932,13888,15297,10718,6863,0.708031991831873
"R-021",55134,38855,34795,37725,27960,16589,0.699114883737802
"R-022",45734,31155,27193,29655,20759,14669,0.67925394673547
"R-023",21712,15555,14365,15006,11990,8760,0.59653647752395
"R-024",30837,21068,19883,20548,17816,13173,0.572818367545481
"R-025",12985,9129,8280,8860,6687,5417,0.582826338082403
"R-026",22977,15063,14194,14707,12803,7581,0.67006136571354
"R-027",22609,16223,14514,15697,12286,8400,0.628466539873502
"R-028",58997,39761,37059,38862,32193,13646,0.768700103395088
"R-043",29922,18048,16202,17462,14346,9331,0.688155871933694
"R-057",45515,31588,29065,30717,24480,12485,0.725694825881578
"R-058",38021,27248,24972,26170,21562,14654,0.614581415533521
"R-059",21811,15400,13862,14682,11661,8697,0.601256246847921
"R-060",32180,22011,21108,21676,20199,12568,0.609446861404599
"R-061",30221,18556,17195,17952,15927,11586,0.61662420171404
"R-062",38094,25575,21715,24395,16753,9452,0.75187693600042
"R-063",14630,9352,8621,9101,7626,5447,0.627682843472317
"R-064",24080,15507,13800,14821,11169,8141,0.661918604651163
"R-065",28541,15695,14615,15335,12457,7922,0.722434392628149
"R-066",29787,21084,18882,20101,16034,10406,0.650652969416188
"R-067",62160,39775,35121,38117,26580,18451,0.703169240669241
"R-068",63412,42745,39260,41707,31714,14614,0.769538888538447
"R-069",28103,19843,17209,18801,13447,8733,0.689250257979575
"R-070",61071,39324,34682,37836,28055,15036,0.753794763472024
"R-071",45306,31048,28486,30140,25028,15286,0.662605394428994
"R-072",85301,63472,58491,61854,48555,24527,0.712465270043728
"R-073",34835,23791,22014,22947,19527,13596,0.609702885029424
"R-074",39187,26544,25069,26097,23545,14666,0.625743231173604
"R-075",25100,17177,15376,16415,12125,9300,0.629482071713147
"R-076",35410,22121,20731,21417,18795,13907,0.607257836769274
"R-077",41666,27543,25606,26780,22973,15497,0.628066049056785
"R-078",40016,27807,23901,26367,16838,12552,0.686325469812075
"R-079",27393,10967,9741,10481,8435,5898,0.784689519220239
"R-080",44354,30148,27056,29178,22630,12772,0.712044009559453
"R-081",10442,761,370,482,251,235,0.977494732809807
"R-082",10535,6836,5906,6344,4840,4353,0.586805885144756
"R-083",56292,37057,32340,35462,25278,14348,0.745114758757905
"R-084",85521,61490,54224,59693,42100,22984,0.731247295985781
"R-141",32105,22745,20142,21771,15925,9806,0.6945647095468
"R-142",60192,44436,40962,43609,34163,15860,0.736509835194046
"R-143",17328,11739,10479,11251,8325,5562,0.679016620498615
"R-144",24730,16513,14756,15915,12890,8317,0.663687828548322
"R-145",26782,19187,17504,18567,14425,10209,0.618811141811665
"R-146",43481,31155,27247,29911,20899,11063,0.745567029277156
"R-147",23061,14267,11704,12936,8256,6604,0.713629070725467
"R-148",20168,14377,12856,13609,10429,7688,0.618802062673542
"R-149",19849,14139,12994,13771,11535,8572,0.568139452869162
"R-150",31324,22274,19611,21300,15501,9410,0.699591367641425
"R-151",9021,6418,5559,5925,4500,3720,0.587628865979381
"R-152",16402,11244,10385,10837,8595,5915,0.63937324716498
"R-153",47590,27446,23022,25710,16668,12370,0.740071443580584
"R-154",29472,19356,17443,18620,14915,10320,0.649837133550489
"R-155",47594,34194,30767,32996,24545,12231,0.743013825272093
"R-156",24396,17411,15890,16793,14003,9656,0.604197409411379
"R-157",62621,40450,36519,38988,31056,19000,0.696587406780473
"R-158",73598,46002,42894,45111,38678,19179,0.739408679583684
"R-159",39291,27410,24686,26484,21258,12720,0.676261739329617
"R-160",30656,21578,20081,20993,17364,11477,0.625619780793319
"R-161",18532,13307,11879,12768,10026,7228,0.609971940427369
"R-162",49706,34700,29134,32598,20795,12964,0.739186416126826
"R-163",23877,17016,14295,16163,11092,7377,0.691041588139213
"R-164",35436,24291,21991,23635,18928,10692,0.698272942770064
"R-165",33608,22587,19636,21517,15569,8829,0.737294691740062
"R-166",6935,4852,4396,4615,3648,2956,0.573756308579668
"R-167",70369,46009,43074,45185,37561,20047,0.715116031206923
"R-168",7416,5120,4610,4839,3984,3208,0.567421790722762
"R-197",49906,29453,26727,28776,22818,11166,0.776259367611109
"R-198",19903,13285,11829,12632,9661,7252,0.635632819172989
"R-199",7091,4905,4167,4546,3152,2769,0.609505006346073
"R-200",23663,16860,15547,16320,13739,8973,0.620800405696657
"R-201",46587,31596,28357,30348,23761,14655,0.685427265116878
"R-202",34597,23532,21411,22928,18687,10945,0.683643090441368
"R-203",93396,62372,57065,60525,48604,27350,0.707160906248662
"R-204",50563,36495,32653,35435,26477,13906,0.724976761663667
"R-205",13268,9225,8372,8759,7201,5516,0.584262888151944
"R-206",39941,26832,25119,26207,22003,13011,0.674244510653213
"R-207",34292,24549,21632,23592,15684,9203,0.731628368132509
"R-208",54419,36183,30888,34119,22239,14664,0.730535290982929
"R-209",26989,18161,15020,16839,10560,7205,0.733039386416688
"R-210",36375,24175,21140,23187,16169,9110,0.749553264604811
"R-211",39667,27356,24255,26123,19669,12575,0.682985857261704
"R-212",20466,14273,12907,13617,10261,7714,0.623082185087462
"R-213",26316,17859,16663,17215,14935,10712,0.592947256421949
"R-214",76946,54038,49385,52406,40729,23320,0.6969303147662
"R-215",40700,26832,25035,26163,21471,14374,0.646830466830467
"R-216",38625,25482,22018,24061,16153,11004,0.715106796116505
"R-217",17685,11164,10316,10728,8867,6591,0.627311280746395
"R-218",17874,11119,10401,10671,9318,6795,0.619838872104733
"R-219",24946,17340,15692,16795,13534,8248,0.669365830193217
"R-220",54416,38759,34785,37510,28179,16280,0.70082328726845
"R-221",40583,28971,25526,27809,19113,10692,0.736539930512776
"R-222",42452,28573,26527,28189,23680,12879,0.696622067275982
"R-223",30972,21434,19925,20798,18185,11194,0.638576779026217
"R-224",20855,14742,13647,14357,12062,7679,0.631790937425078
"R-281",48463,33072,28402,31295,20361,13228,0.727049501681695
"R-282",39601,28309,26612,27607,23801,16211,0.590641650463372
"R-283",35347,22960,19584,21732,15118,9929,0.719099216340849
"R-284",53225,38100,34290,36845,26867,13505,0.746265852512917
"R-285",15923,10669,9732,10269,8247,6318,0.603215474470891
"R-286",28896,19899,18855,19469,17299,9475,0.672099944629014
"R-287",32721,21487,19901,20749,17814,12212,0.6267840224932
"R-288",32884,23419,21060,22590,18226,11226,0.658618172971658
"R-289",50471,33795,32132,33345,29882,15769,0.687563155079154
"R-290",973,648,519,564,395,379,0.610483042137718
"R-291",25650,18306,16072,17404,12806,9050,0.647173489278752
"R-292",61547,40474,35440,38891,27419,15076,0.75504898695306
"R-293",44478,29920,27172,29290,23506,11281,0.746368991411484
"R-294",38320,27013,24126,26201,18785,10182,0.734290187891441
"R-295",45148,29698,26059,28149,20947,13376,0.703729954815274
"R-296",50982,35492,31397,34214,24942,15766,0.69075359930956
"R-297",54662,36681,32962,35415,26371,15127,0.723262961472321
"R-298",39636,27032,23461,25357,16998,12446,0.685992532041578
"R-299",9221,6550,5802,6119,4683,3531,0.617069732133174
"R-300",10892,5401,4862,5126,4109,3580,0.671318398824826
"R-301",19962,13701,12213,13046,10250,7864,0.606051497845907
"R-302",23363,16078,14618,15556,12219,8508,0.635834439070325
"R-303",49001,33313,30267,32194,26234,15272,0.688332891165486
"R-304",74244,49182,44827,47878,38726,19868,0.732395883842465
"R-305",41660,22838,20946,22315,18559,10728,0.742486797887662
"R-306",50678,35912,32203,34864,26467,12860,0.746240972414065
"R-307",27959,20071,18336,19322,15907,10501,0.624414320969992
"R-308",48281,33315,30862,32404,26885,16446,0.659369110001864
"R-337",58033,37785,35356,37292,31335,16673,0.712697947719401
"R-338",29755,21663,19854,20926,16895,11858,0.601478743068392
"R-339",5185,3704,3183,3422,2591,2130,0.589199614271938
"R-340",15875,10717,9846,10229,8128,6532,0.588535433070866
"R-341",26210,17833,16230,17190,13505,10123,0.613773368943151
"R-342",42180,23919,22331,23283,20135,11355,0.730796586059744
"R-343",43905,29983,26417,28835,20402,12959,0.70483999544471
"R-344",44299,28470,25404,27423,20589,11068,0.750152373642746
"R-345",30437,21095,19387,20420,17044,12311,0.595525183165227
"R-346",51045,33249,28215,31429,20276,13013,0.745068077186796
"R-347",29044,20502,18415,19769,15254,10461,0.639822338520865
"R-348",86122,60198,56091,59022,48231,21955,0.74507094586749
